"file.name","peak.number","Valine Fragment","Glycine","TMAO","Lysine Fragment","Alanine","Unknown 1","Choline","Serine","Creatinine","Proline","Valine","Betaine","Threonine","Unknown 2","Hydroxyproline","Creatine","Isoleucine","Leucine","Asparagine","Ornithine","Aspartic Acid","Hypoxanthine","Betaine Adduct","Proline Betaine","Deoxycarnitine","Glutamine","Lysine","Glutamic Acid","Histidine","Aminooctanoic Acid","Me-Lys","Carnitine","Phenylalanine","Methylhistidine","Arginine","Citrulline","Tyrosine","ADMA","SDMA","Acetylcarnitine","Tryptophan","Propionylcarnitine","Cystine","Unknown 3","CysGly-CySS"
"",13,"824016.099636488",1398900.61030706,"12541.9829896021","397929.929565144",1407085.76366654,"185085.327544927",903608.527128546,1256213.95787922,1030763.39043124,2163316.77942848,"Impute","1525539.55603201",1292570.5134003,"<LOD","430588.024384095",1698705.38881461,1836099.16427429,3336448.04566235,"1398115.38737796","2359233.72650357","412759.046396844","63142.4147592644","42561.1488389718","81641.0842892778","21263.3565368301",5470200.59780915,4113886.10954958,1142186.79399702,1279624.50758137,"<LOD",43934.2889494443,364961.167050794,1807052.32348834,90465.700670555,2361646.5393272,296173.350424348,1490943.93175356,"27643.3331168291","42367.3759779087",105917.125421317,330451.161727744,"65930.0308021096",730743.015295531,"22062.7212811584","197202.651854001"
"20230202_122_133",1,"1172163.83975347",923642.65607693,"42178.2441398331","316899.0733568",2285124.05904317,"146251.457259566",758674.681070865,992936.036806903,803347.333339024,4021731.71232893,"5869752.60743872","1148682.24613155",1588002.79908491,"<LOD","Impute",1644228.26282563,3353338.63065735,5144282.19809786,"736797.085423781","914796.768118424","225737.373583084","46860.9483002879","84697.8429008296","169505.605439068","43863.380967239",5409368.49985126,3445251.67266843,592029.907800331,1157127.97912501,"59580.7587920169",92576.0556309759,1126868.37545817,1818058.26701689,206259.351008371,2390684.39027551,491494.233385419,1928852.07641325,"27060.2456329348","16155.5214870411",230461.307633748,251899.055522779,"44375.045173438",790501.684873742,"34989.7809862214","150298.889007542"
"",2,"572209.620544871",1028727.34793299,"<LOD","149238.893427984",1437320.09667889,"214592.203130986",323577.7247637,1189329.48132112,603139.584021434,2073030.00193418,"2949300.75314403","1724423.74137638",1314079.36967504,"89554.7290681444","Impute",967347.501181797,1597017.71772769,2655550.91355141,"812093.408477104","1085245.11023447","245487.986846457","43711.2834616245","122463.649923857","39738.7253504381","18647.0691670912",4241700.0952633,1782933.3638294,1174171.48711523,950572.281159356,"<LOD",59399.706647612,677862.885704005,2454532.11014943,88555.5764821375,1476210.83759043,115399.463085671,1281548.02383673,"17194.1899087363","27685.1072666967",209869.780047487,264591.519342048,"22073.5756850933",354550.634178071,"61648.3002407801","141912.279660591"
"",3,"476348.824739728",840366.348462157,"21908.5311944595","226826.125199843",1232876.56100267,"198498.479532071",423054.515246703,910973.092569318,688279.578123711,1750848.35752556,"2590393.77871641","1639412.20293178",1526438.76628593,"<LOD","151456.608299788",1851392.85028798,1469548.44944023,2524706.72175064,"920322.715925495","667786.239434838","250115.628771569","51701.4684666671","122335.209849799","<LOD","19735.3649393305",6401388.45808206,2344845.05817263,1388282.62818345,821751.92660918,"<LOD",83208.8419885496,958412.052871153,1342150.47469965,105523.95623421,1104224.96931556,142879.19654497,1345109.71866128,"23492.81814585","36435.8649506097",137655.287726005,168458.875431988,"24137.0016723895",663063.915868042,"83268.1988355226","200702.900443649"
"",4,"684338.071796505",694705.980712496,"61548.9043136149","289596.489624258",1938618.24070774,"154028.11451258",714460.236144015,851191.746218996,871897.228587322,2412945.37675013,"3235979.75928736","1582236.26069375",1501562.25476122,"118098.844629963","195112.58020288",1578256.14774003,1478118.00211778,2951419.6384923,"858431.350016963","885459.997032895","243131.353173353","49595.57297763","100549.444269412","286359.206884152","21724.5398945223",5786147.51002664,2919921.60891717,882826.53512615,957247.404340815,"25030.7976265009",71043.5057860495,1407315.95406422,2078957.22079902,114762.924756837,1307432.11010218,224158.785085987,1330783.63407623,"21704.2235015712","20522.7841037431",416033.729898361,236612.503894944,"49493.6323359661",474676.49231858,"68013.2190001369","163806.398817516"
"",5,"576945.037443803",1499862.60024511,"<LOD","442154.3570115",1531285.40993561,"219622.798123559",515986.345192229,1250202.72089068,449742.689342901,2568939.96699099,"2720050.66452773","2184889.60206324",2779990.03411157,"88633.8934727239","219271.061395128",2354835.28097612,1680082.03367826,3473345.68611193,"704205.809241744","861588.63156788","209121.657671903","<LOD","149126.528733374","40498.6880055929","24010.0012304872",7346417.6083191,4127281.79353694,1468799.02900902,903877.339191671,"<LOD",73139.4924186169,1728297.77579202,1374662.67011644,145375.535876386,1822590.61925904,265509.263334859,1781957.47538387,"32898.5257088364","32550.0472151355",397933.830341734,224407.471661526,"43259.9137020711",738297.468178297,"123529.285817147","174093.912226249"
"",6,"937975.435294922",1041306.79144711,"15935.1328162822","273313.100529284",1057855.37812807,"277803.96588877",694123.487572137,1210456.7877328,396191.901886816,2519503.95605679,"4413607.23825836","3064750.10227961",2003494.41130013,"97946.7148788554","188400.237097788",1907176.93930268,2422058.27426446,4351387.91216443,"635635.981112706","605435.359647467","173774.991211897","41727.0397046122","182430.402860959","44159.7966501186","27947.7094174838",6390753.42577644,3060208.00042977,1393512.07772128,985621.148883735,"14798.5866581799",73200.7245696738,2115096.26241811,1709128.97111474,75880.4286277902,1383274.92935826,281609.834133061,1522453.40233878,"21410.7185265256","13195.105615272",806776.349023715,271665.980736721,"47104.5529823131",802781.132663297,"91464.7790361348","128808.033984232"
"",7,"625781.965208104",747314.903651646,"Impute","212344.451127568",1559283.76624901,"122635.745553189",471295.723085133,573592.983564208,805470.627603833,1840233.64350618,"2820361.53803656","Impute",1754147.94637773,"118737.622398467","120316.016417571",1316078.26379953,1337197.63505908,2793396.06711072,"814243.423375997","465060.046593439","231274.913657422","60195.174804891","76080.2657306101","33062.3916141637","26695.1399808738",4827743.39298675,2415757.01855111,396130.201019307,534727.110345159,"48207.1909039756",17511.2996298036,1287250.19503172,1042638.31850027,48061.6284731611,823301.802086082,208829.537594814,1062220.41041148,"17022.5520923436","10226.8054633115",188280.80417619,148337.653149714,"27570.7646059699",526703.067287852,"50159.1240698447","96431.1037930873"
"",8,"727645.395454348",731175.596561621,"Impute","220565.878422857",1827382.80233857,"170657.70370874",519886.662903193,547529.832054159,815611.127694522,1959229.5021401,"3339828.32976385","Impute",1614536.78144487,"125192.326174809","127477.885788232",957657.766071138,1567339.95567464,3420258.35657937,"909109.843158128","400791.215478384","262245.075052295","73769.295389264","114386.553481634","18463.0452389427","16652.4694355662",5663260.16637601,2445989.76892839,559576.789149489,1093794.28270435,"48055.1941891053",14751.8621706128,1287211.83623467,1239203.87341979,37091.1276023994,794572.952623279,208647.134589294,1053010.74942378,"25148.20604667","<LOD",218301.715883499,161297.442354954,"23292.2058554378",591898.339679182,"65956.300558073","106123.901816206"
"",9,"648801.877133266",1210562.30144537,"23410.4149593849","326646.962065279",2454837.64300817,"192381.336332187",371252.817511127,810082.755933694,840588.912290041,1825603.08897563,"3200688.55153874","Impute",1686456.09983544,"168198.281173537","173606.822487672",1596609.05539763,1299668.00873851,2595324.99871231,"813541.104587116","496400.858268791","233764.460211546","52694.753861355","73058.0623267925","25355.8789937041","36041.0162797495",7151547.17051739,2940001.15943581,334776.879325929,1497842.4723556,"36180.1958865987",37925.1185718847,1837787.06539702,1430210.0237114,56938.2720019769,1811007.19666739,302855.631264595,1218643.30350054,"24847.826754274","10309.5632271476",207928.10193693,200821.939277,"43013.9526774933",494335.130847665,"87063.2266184265","107201.0851397"
"",10,"539505.317914135",1173794.29153485,"14263.2059510569","165892.730903619",3220149.14771095,"125271.449276349",276414.277314881,736722.342896663,928569.902220412,2826088.56604393,"2760569.34129152","1058980.83806254",1043905.27846261,"85380.583244749","326972.057374531",879147.397282439,1037470.22701253,1470985.0192727,"933295.767177534","608403.316135858","273706.67256471","50331.3980341075","61154.8993264618","1716473.31254869","35033.6730259777",5593867.28640879,1789208.2625224,417205.771382927,1170005.2892007,"34497.1233249951",57157.9483129734,890300.432075806,819199.397154692,320823.396091375,1255033.22786965,366877.691487356,1088708.41441083,"16286.5798296022","12912.7940145636",253488.558002085,154522.360223143,"<LOD",390621.034533783,"67630.3564861597","81214.381746252"
"",11,"290047.277156314",611226.991514291,"111203.265241651","165040.31559469",957804.239907204,"103048.32651977",444971.910095707,378609.430315936,840993.264959796,757086.49030488,"Impute","1296925.67675584",329902.63809504,"<LOD","62407.4197310075",1242810.52198827,694345.214088362,1185527.68446755,"680269.334904681","189741.886811081","187438.887006754","57933.9190816876","69673.6119813584","32540.7457242741","<LOD",3577077.32872271,1666534.10795886,866939.750327865,775653.814596477,"<LOD",48217.78932233,754224.151684285,794363.606181792,71586.9597140238,527226.404926436,136140.071398347,1050654.68809751,"18652.9367071773","13980.1753326063",341125.727606889,69709.9845410683,"15074.0902574458",290001.487450293,"13884.5742530816","138560.071150215"
"",12,"725275.573896761",1022275.4508622,"51699.9268845354","166729.144501791",1693829.33975843,"169636.661495892",461585.538681845,569498.728991685,823387.307725775,1828497.68085818,"Impute","753545.798173467",852086.545444754,"<LOD","80766.5213207648",895640.450767969,2117096.01125457,2531085.41436387,"694796.620760796","1298014.48721581","196705.637043615","51189.5182587243","48155.1252272139","23839.8990020583","17222.4042512935",3671922.25409312,1715213.60931529,899157.366859159,1207516.01203864,"<LOD",57854.2255366239,709512.986016794,1839944.90550135,70457.2238323547,1197288.22468942,196449.053430367,898869.890638043,"12193.5136883025","15603.3307052979",185726.500081776,268802.69564815,"25143.0591535544",357006.213017932,"33401.5193723266","228051.503793735"
"",13,"835041.46636316",1016082.90559146,"25423.5433226665","286240.887331285",1708610.9844243,"153855.964230938",645842.43868498,611694.699010859,721201.930927369,2148813.32869971,"Impute","998403.587952688",1157516.85167214,"<LOD","74373.695591192",563206.079991906,1904376.3325139,2651104.41750266,"920761.422851085","1060818.93310182","269075.663056294","37954.364039716","65418.1744900991","41542.8014430921","14928.819186999",3483646.17724523,3697856.42227762,711754.936353493,1139884.36883632,"<LOD",40488.8609932412,755525.367709002,1799069.89907528,53847.6589256529,1117909.56908123,173708.446267944,893031.48331304,"22423.9865507661","8451.92362033788",127939.685090527,264445.439406508,"26441.9491812561",520433.161950487,"17212.1651249694","234184.159215465"
"20230202_13_24",1,"528516.588500391",592643.888146713,"19440.0679544158","64060.0820911078",760482.102060006,"80292.1582537564",306690.54951303,445799.254835317,1014818.30123961,790675.073782243,"2693754.15039286","1071827.85815446",604246.822545993,"<LOD","Impute",1660833.22590026,1458720.56182564,2205144.94445347,"1080787.1417064","216606.737917447","306772.967324674","125985.516906861","81386.7811496102","217136.62226799","58635.8282534349",3732524.72788979,771394.505443337,263125.604447836,797009.045687764,"326080.443833336",74944.1984139525,952688.686305518,1620719.7759249,69545.4781946972,492109.986170888,164323.541349909,1232355.58447828,"<LOD","24792.7299543861",1341419.14848982,484705.546133142,"<LOD",202091.159667748,"75470.7516675049","153336.633502404"
"",2,"450872.262062331",370306.423972108,"59946.5482076942","64464.3680903411",646265.591900638,"133616.836087094",466911.449664368,373189.600196472,1415155.01082936,541601.391598966,"2105636.23666803","860257.663612158",441535.936179968,"<LOD","Impute",946658.794178707,1222008.20585649,1737838.30526968,"827866.137029239","255331.690593425","250959.907621975","<LOD","53269.079131213","135819.536864236","55708.0755211307",2781585.76366143,753948.428908233,551762.397978229,859053.688256698,"223620.308769426",85152.5405007433,742961.37434422,1240091.60806462,57003.5521722607,221094.041376281,103954.181804125,831012.25948699,"11928.0061454864","24271.5673031968",286387.143120627,97311.8843909289,"17686.0902629019",185071.30515361,"81800.752337656","210206.408908448"
"",3,"432848.925754969",435420.451924396,"<LOD","84215.0261699029",1313539.51938737,"70111.0933725385",446529.605452357,733127.890973469,977287.473426899,2384353.01558409,"1990020.50813351","1814989.94473594",1629078.37436429,"<LOD","Impute",573724.825772608,1088997.25431763,2181499.21808489,"610045.363392421","147451.377125721","162545.242250768","38433.6324724639","95463.8537927847","97329.2921458125","26247.6661654263",4747541.37877687,1040833.40672894,1413483.45795924,767692.392565969,"125290.987934114",71144.605658131,598261.478353092,1058417.90840123,30489.6995370993,376240.244070203,147033.747108208,723368.425878226,"14512.0511216945","23924.0684680391",130523.500356944,83628.8798316668,"20824.3016866074",280301.540192309,"92036.4115499353","215074.089268838"
"",4,"562045.65027464",561548.150231127,"<LOD","211067.625027925",1315785.33215931,"79186.9199627773",704081.085218855,770690.060161675,568605.705501118,2415376.17195214,"3003704.16676779","1804190.88074325",1382209.07099214,"165491.063964088","151055.547323354",685623.287962994,1045379.35016803,2597786.40072452,"669915.427069807","648515.460203256","196913.521626953","56774.5014000805","126344.06021729","44011.9675256969","<LOD",4866191.06046677,2424234.92936584,923212.188605437,977917.866552855,"112828.724437202",146315.740642015,724464.909701355,1928848.62580472,79115.160284143,751037.017777226,266560.721488989,1279767.63251389,"23457.4300772658","25765.1211989541",158646.069363802,157342.658951474,"15571.7254186587",425380.527854372,"69693.3084023672","234645.844907597"
"",5,"646348.778663036",422794.677004199,"<LOD","138635.262122623",1178587.79991563,"163714.290544865",198416.822620519,323158.357510294,1364650.51552002,768405.93509554,"3008897.21175267","391757.298359803",696604.652210777,"148632.698255391","34865.7396334093",1213455.00782347,1213469.36850169,3188974.09768247,"690391.480231186","519590.181936966","198131.460613898","51263.2839844823","28136.2305352042","85923.2244308722","15114.1072429271",2882736.40628569,1516309.21477691,278459.532387103,673426.716244486,"15749.0376772749",178283.24651466,575914.171169164,1594619.94071008,101202.44334684,709359.776186022,128180.47871479,1102860.23820852,"10780.9416090388","11817.6896080698",104475.889258812,112786.250426925,"<LOD",288431.308405602,"84495.6995383516","295088.253643521"
"",6,"631424.390475566",328975.94918069,"12025.9686781947","107778.904908261",729281.605819442,"134460.206924917",217910.620134673,238483.635878913,865547.116108426,703710.407634272,"2758506.34386032","271494.157901502",530288.728914773,"104580.403939624","35071.1825126682",1139578.35247537,1064112.53802732,2590174.98032922,"566823.987918115","556255.293482603","164050.038592062","47605.699245113","18414.6601368691","51277.2398175136","21025.5320164558",2375317.69772579,1208700.33610028,279194.689984108,466890.537360496,"17866.5167569035",156683.575518233,488935.34135298,1534624.63323912,78299.7723235998,541143.409628236,113349.03122355,1055413.33366457,"<LOD","<LOD",111321.279109261,120677.013276365,"<LOD",278662.902152799,"66608.8557195863","291651.032840553"
"",7,"754400.82141204",566159.945336732,"Impute","141904.326359089",712973.405453186,"58443.2483601951",405278.38587816,366412.282426944,1513058.4066794,1637286.80796195,"3190765.29451151","Impute",1198737.44935695,"79996.6603035852","72007.1382072877",1181557.02560084,1158873.36464975,3312777.47273918,"697702.650252844","701775.191057578","201851.199740265","95064.6556520725","45145.0466160065","72148.3441720466","43198.7553456684",3344848.4470873,1564419.72248054,455920.515516882,594628.089094217,"41045.3861692174",125431.01380636,675100.874181572,1739072.6024393,80137.2109940552,609768.076572504,211946.175983243,1366900.33734653,"<LOD","<LOD",152932.160751804,142548.003816471,"30056.7443117689",539840.559894338,"50035.2759742531","363836.493724751"
"",8,"866554.235322726",866372.519440925,"Impute","198727.969364079",1535343.88051732,"121119.460213038",1145687.37425291,437884.664209638,1834900.6114782,2875401.48485486,"3835825.25011511","Impute",1832490.06887673,"97966.1684733802","98265.9893869651",1531016.30541466,1541236.97581395,3228299.64769312,"1422875.54578148","1207735.25951309","410925.924886448","169820.737584138","149427.933497529","20774.9150619256","69451.7446549095",5262672.44031176,2128162.392258,2096949.81521157,1119077.04890362,"58333.769929154",100027.436829507,832450.700336559,2227496.5253742,105825.553051634,859874.346135463,261265.659458276,1768820.57144297,"25318.0996861342","13750.5493917712",195377.390897711,253325.614009828,"31547.3602070027",610032.293006791,"52947.1761366355","528939.835570888"
"",9,"214999.329435136",491231.250533719,"Impute","110119.209417157",625537.473174981,"66759.6009622",1238325.82501202,255271.113850835,1965320.70680857,972955.173614079,"856586.692130797","Impute",376491.503263496,"<LOD","57663.8430315764",404776.432240155,574791.845442667,945797.412174557,"707577.402084781","115423.195363286","204212.936227508","29248.6487399834","68465.6530744152","62563.352379442","18148.7662294763",2514332.13250257,1105816.70905631,372204.927305651,815587.952126807,"<LOD",48135.6619689207,160139.835404785,901395.8337195,91631.4022631722,279434.242775301,169752.87209258,702594.39742358,"12727.8672440498","16864.328731359",79284.5809302339,123040.403901737,"49860.5869529101",137983.414129893,"14229.2927854296","132814.954497406"
"",10,"277121.241045519",541632.639095028,"<LOD","135241.869042136",764849.859655297,"114210.284279224",703618.190573832,391394.177496065,1530499.26518334,1240947.66559739,"1353123.64205612","1364531.69743611",745154.720019465,"<LOD","67933.0444535465",353542.823576892,761669.275049474,1393649.61008924,"548760.196599588","370206.969285067","156198.371167549","12208.2131272935","72584.4044648669","33663.1148206156","24306.0919373812",3329452.76570391,1550667.47525625,1106971.5610168,905814.851480957,"<LOD",44052.5525977317,139910.910150093,845591.762676875,71621.643679788,210821.582218703,177119.656331363,683833.641772351,"13989.5937889756","22037.5598889527",85009.0071921085,114122.484661175,"61784.2105024462",82453.2872458905,"51913.8808412187","53508.087542114"
"",11,"618979.381027465",897885.206803266,"63808.8701992618","228431.213269666",1643064.26936633,"194439.604445124",566775.979441468,722678.672570262,1370674.51853097,2149857.51601769,"Impute","1581767.4514869",1369883.33773582,"71980.8347868194","165144.878636109",1488737.13313267,1236823.47429033,2246366.96761605,"787401.705602593","795602.596266626","221881.923361702","47539.38360852","73589.2306936127","296951.553140373","36833.3479005225",5213709.22138669,2592205.04879429,771985.743205142,1138219.24590659,"49341.240191542",78373.5578484456,1321207.8902401,1842601.55453536,100294.048666345,1350960.0324205,203610.563094675,1222988.70808409,"25342.8940307454","21120.5811460024",435669.61367612,216103.138079912,"32396.1354916562",415700.901529301,"64578.8531873316","137071.565891954"
"",12,"493324.413299745",691549.469943649,"<LOD","176939.932936823",1144466.25843322,"191973.704048499",1466249.4403589,702286.728101322,1242596.30935971,2355896.32924943,"Impute","1852087.98557403",1683119.19662517,"<LOD","108095.683704651",442018.226743083,1698545.3304389,2707959.8708604,"556507.342827733","485185.987223439","147547.751810456","53526.8310906876","78887.0152381517","<LOD","15254.0474103597",5840634.36114952,1976578.41455613,834404.334778257,1010439.6076946,"<LOD",34783.2662802948,199088.224572397,1193942.81363872,57288.4720502475,467351.097468387,324624.936520643,971060.628613102,"12668.6857450302","13619.205116787",168852.199714354,203284.422515243,"43213.8752003017",301664.75308829,"72517.6513569361","187856.414948194"
"",13,"290851.882685631",578103.517078314,"18622.245642064","152356.918868055",1042304.91306406,"179883.894706351",438265.250174806,589116.315231228,1059979.78870285,1893132.81610792,"Impute","1977151.44782705",924944.810619763,"<LOD","112864.594793691",268143.526943075,785141.589846424,1532525.11868393,"890122.295012262","473813.770768688","278270.538994864","44428.903015621","83095.247081743","<LOD","17093.623001437",6101022.25316733,2321311.58026881,547921.536281451,453747.045241357,"<LOD",29895.9183754292,140004.278493856,895096.67573224,33210.3435309017,546752.071169957,373893.978708199,770530.003548942,"14623.4801768666","14623.4801768666",133943.845701852,126679.784528796,"<LOD",231178.403955298,"53551.5684139317","143088.048203041"
"20230202_134_145",1,"923129.164317342",903022.915562787,"75300.9425718644","110058.264103364",1557502.50025177,"120896.733190213",338118.21051799,697205.662628291,562584.970357843,2599366.4970443,"4684227.38544088","700016.243793562",1392955.10594431,"<LOD","Impute",647548.919679826,2252976.51351259,2904119.10824358,"739869.965288864","867078.571455148","213749.208801228","26927.8293373136","62342.383618447","<LOD","25723.9510329521",3724398.2164203,1054788.69470968,1407364.21797059,902666.655366896,"<LOD",45788.2152783276,902026.386519141,2033301.03066751,41878.1458195016,1271970.76970184,285359.196226895,1043533.16018354,"12197.1074613033","15746.5008073688",117918.353719182,239684.473254739,"24487.6278113456",560155.609060305,"14920.1804513791","250611.203710824"
"",2,"742983.134254928",781940.113877716,"21070.1918123304","159519.001888677",1364677.87829511,"87473.1580167736",997112.683854604,805430.085019582,641854.284500579,2547827.89676783,"3717463.76370599","3977083.06186063",1155320.94617592,"108472.047211464","169292.692554813",684506.901810678,1665989.89198167,3879564.49035853,"869751.997484448","839506.367323729","239872.508980851","<LOD","388661.880417407","24482.3067171875","9351.57662670186",5474552.52372444,1883279.20924168,1144183.47406429,807405.429624854,"<LOD",67280.6185041638,1036299.33226431,1342285.28347213,198036.416734004,1581584.73394894,348078.828029097,1710297.19858288,"13266.386989084","9393.75435762659",125572.805647287,114446.656460901,"41985.9964456547",565064.816146409,"35783.6876583938","182898.493831859"
"",3,"562578.798218222",394664.144825051,"<LOD","187518.241455791",1468783.3385172,"72549.5588534943",565557.436833085,555097.918273427,817099.920882169,2800452.90925466,"2897868.41523533","1318073.14202664",961185.747403716,"409232.250350286","88737.4988726249",206970.371117906,1120955.42260333,2849799.02436827,"667146.993029162","952455.21521709","188034.500070566","14329.7896287713","142319.930162843","55899.9618707561","16052.573539041",3857041.88291292,2339280.32970094,203681.97563013,538809.923805004,"17502.5136987349",62961.6691979512,697596.558649021,12833017.9433282,52942.4260584631,648103.047768172,164087.705562021,1300219.18484525,"11739.7812717571","17955.9128741574",47526.7675346503,184439.638710433,"<LOD",276311.800428856,"36246.4494648427","51144.0851263686"
"",4,"605476.71673836",450054.85845928,"<LOD","242728.305503568",1663582.47666258,"54769.5107632355",476473.038388408,632111.280500038,1091356.61590405,3293842.59023066,"2849404.0534596","922030.187507119",850867.980634695,"986607.644540112","110543.096964502",468538.293049666,1074292.08058682,2669651.57918998,"674091.561121664","759919.714096875","209123.994016487","<LOD","127346.882112395","1326283.2881439","28677.8673932155",3535900.87951247,2785667.77969261,258021.069033263,604167.632924872,"25897.1220212149",59081.814201459,1360136.9423919,9788480.71349313,97482.7817330539,1143587.50782286,199270.646937195,1723048.43450637,"30472.0030145237","16770.8819214981",303455.341214639,250042.698961772,"34462.0132343664",774888.753879911,"29309.4842027701","53165.17921743"
"",5,"398325.991368859",799082.958471588,"17282.6542894415","183908.650703454",1939707.00677169,"126273.030358561",440344.689261982,560933.796408491,1271497.27337728,3593898.83047201,"1901834.28081553","Impute",840392.17789452,"707154.735778514","190278.128285839",443204.876920529,1016927.57929893,2195551.08236393,"618363.442887172","1040132.87758227","189222.086302993","<LOD","78840.7860970172","2669077.72833342","28727.8314312554",3603724.55182591,2242229.7969697,276827.012653756,478640.871253762,"45340.6725381993",44445.1084573365,1348059.38728722,3443567.23361589,185477.301488425,457404.297576221,147508.944916887,1393466.0343544,"13898.3158658751","14812.2642738027",216782.844752567,185451.284729062,"32062.4696896272",495672.178548209,"59621.943958308","109317.269508678"
"",6,"583259.34530256",1428050.46608502,"<LOD","420266.499038722",1447415.75252215,"92310.8134376856",192954.926609511,1175028.72376295,422209.38848992,1819714.62882683,"2857910.06952003","Impute",1101420.37334017,"<LOD","229814.263404379",1800692.17924216,1080623.3187554,2436833.22487772,"721819.868154403","941516.841827865","207377.851223618","22309.3729849104","89413.7238525784","56482.0719397743","21275.4426306398",4999335.22710046,4558123.50222126,1167242.31673911,1202486.07473195,"10697.4554812293",61310.8923333444,1801004.24574753,1372950.07696556,52970.8443377999,1280465.12479773,90020.2785742329,611401.831850528,"30123.4044674199","18984.7749608202",234509.080157742,99852.5924465191,"57286.576262886",323598.320033073,"<LOD","112831.015717389"
"",7,"739604.837342666",1757786.62589358,"Impute","614568.015693704",1607769.91790439,"90563.1875168188",225184.179809105,1512586.88704324,616156.377054444,2218983.09776307,"3459541.40798636","Impute",1950970.98905123,"<LOD","219744.577669465",2006156.19943192,1256469.78523285,2501206.70179063,"860206.773033958","1192240.27854259","252846.091493451","<LOD","79596.5567110409","33438.9063173538","39731.7128413748",6936566.42302602,6843374.3738544,1417166.36717707,1212307.63817781,"15186.7987675042",83384.938352704,2297597.48213398,1419848.49833363,68614.4575582169,1902017.62652227,127449.350766202,689248.20404381,"35178.0347983171","19065.6440704727",288065.713521144,140113.392054351,"51876.0653151346",532067.971587356,"69391.0397084886","147719.834582844"
"",8,"502570.126465981",890929.889542694,"49023.3575682585","195521.049886048",1576492.53251625,"147270.474733142",667299.701074944,670979.506025953,999089.22686911,1912481.02038351,"2634322.09652588","Impute",1211353.99381313,"94031.1805522051","153260.560533124",1332566.19560907,1120247.1780908,2473247.87491328,"750754.35261767","621432.61977967","207858.605495897","<LOD","201439.268708366","251195.161582351","63486.1121053832",4625279.05817709,2159672.7211457,720795.919038608,1062197.78262223,"55420.1950485388",57264.4226446589,988544.536516934,1693367.73999214,105097.661733619,926953.758232029,187661.870297339,1080653.33772145,"25272.1232650128","23408.8475470398",365505.875922943,166002.911669787,"24696.8208604359",375375.787741311,"57607.1878915708","124062.026344758"
"",9,"642375.236246533",1476150.19923682,"<LOD","462268.116195054",1759022.34798639,"132523.289063093",236549.244784368,1341125.27985094,422240.860316552,2301976.4059413,"Impute","Impute",2049530.41447045,"<LOD","201092.915037425",1700147.82444197,1245623.65264284,1653542.37443037,"774978.780557982","922235.07640725","232097.959654761","<LOD","100205.643571126","37272.8458540434","40047.8814856933",5896033.39715533,5090454.33969539,1296679.85875538,1885514.73933327,"<LOD",125519.974673456,2289299.11670479,1255615.48985109,59567.6045359724,2097591.67365268,116951.258678004,660576.742914681,"27917.820117045","22867.8060287456",255325.216289922,138302.008037528,"39870.9185699086",567024.134217415,"78349.0952724917","152416.166274203"
"",10,"544341.682767405",1514594.54564618,"<LOD","512492.461595208",1538637.0088504,"114663.33626346",243159.551179835,1308160.07761435,527622.991937913,2051007.48458096,"Impute","583237.188633127",2162919.11058106,"<LOD","257732.30561463",1649424.58428413,990742.174803429,1840149.92853607,"806689.641303047","1007416.16297974","243824.405516532","<LOD","53331.3527866462","46200.4051750653","52646.217667572",5761263.36213041,5590535.64504023,997695.385549562,1705992.46785014,"8884.40860760091",121277.666243186,2424856.44550162,1092829.5148676,71022.8586340302,2348184.23488555,163269.338606184,683380.317513032,"40287.7228053548","31694.4149775509",279848.445647681,217674.159323522,"35478.4314026742",652889.681192068,"40205.3824524853","124765.225893074"
"",11,"416007.837669234",1226136.68567562,"11892.8303406923","345519.239750308",1040399.414616,"113364.229424229",342940.160761042,942377.474266055,532629.67106342,1445871.36603525,"Impute","865561.434695471",1309422.25322898,"<LOD","201895.89611684",889245.385677136,895492.498103839,1438241.12033408,"679835.405980853","1097219.71208971","200995.731188102","51264.8692456093","83785.7871578021","64369.6772315333","40982.3540370499",4415645.41276274,4148672.32748965,631602.663410656,1149608.82505158,"<LOD",53594.1123549758,1453955.64634586,1096982.22356422,36808.4742389019,2221175.71782332,108812.37390419,922532.248361282,"27800.1794588713","61063.117715719",230335.122855655,202796.925997613,"29030.9846977225",479464.606810963,"43037.4110248856","78808.6989839266"
"",12,"1121907.37882067",1104461.31298744,"<LOD","636327.991689829",1706732.00448025,"155382.650623157",1332455.1534738,1325672.76491523,944323.170477444,2419461.30334859,"Impute","668179.583228166",1516266.11997602,"<LOD","442133.19800629",1149582.96118605,2928954.0180295,4289983.77292423,"680057.825576918","3943499.62246456","250201.387852323","<LOD","74738.3338620354","25046.0070563639","39717.2559346221",3798572.34382184,7147398.01517988,2097706.48196613,1443488.19901902,"17110.3676903366",100932.165462527,414547.360235567,2165996.35895523,91137.7541820129,2688510.83878374,536792.933679673,1639839.30656385,"41438.1894421471","65920.5136634685",106164.548048475,640253.446841337,"27026.9073418564",414025.284649471,"53038.4273268168","115449.942684439"
